Category,Rating,Rating Count,Minimum Installs,Maximum Installs,Free,Price,Ad Supported,In App Purchases,Editors Choice
Arcade,4.6,5304826.0,1000000000.0,1704495994.0,1.0,0.0,1.0,1.0,1.0
Auto & Vehicles,4.3,1824861.0,1000000000.0,1976625745.0,1.0,0.0,0.0,0.0,0.0
Books & Reference,4.1,1814775.0,1000000000.0,3202676731.0,1.0,0.0,0.0,0.0,0.0
Business,4.2,188987.0,1000000000.0,1410817280.0,1.0,0.0,0.0,0.0,0.0
Casual,4.6,31476637.0,1000000000.0,1208422684.0,1.0,0.0,1.0,1.0,0.0
Communication,4.2,24472816.25,2666666666.6666665,4282273304.75,1.0,0.0,0.08333333333333333,0.08333333333333333,0.25
Entertainment,4.35,11855527.0,1000000000.0,3021396599.5,1.0,0.0,0.0,0.5,0.5
Health & Fitness,3.6,1244210.0,1000000000.0,1341624888.0,1.0,0.0,1.0,0.0,0.0
Music & Audio,4.266666666666667,9337805.0,1000000000.0,1055487940.3333334,1.0,0.0,1.0,0.0,0.0
News & Magazines,4.0,430898.0,1000000000.0,2181131056.5,1.0,0.0,1.0,0.0,0.0
Personalization,4.0,262669.0,1000000000.0,2158959897.0,1.0,0.0,0.0,0.0,0.0
Photography,4.5,18938659.0,3000000000.0,3938642468.0,1.0,0.0,0.0,0.0,0.0
Productivity,4.3307692307692305,1851144.5384615385,1307692307.6923077,1922100025.0,1.0,0.0,0.0,0.46153846153846156,0.0
Social,3.6285714285714286,49125992.428571425,1571428571.4285715,2965091797.285714,1.0,0.0,0.8571428571428571,0.5714285714285714,0.2857142857142857
Tools,4.266666666666667,5324124.5,2166666666.6666665,3539950411.2777777,1.0,0.0,0.1111111111111111,0.05555555555555555,0.0
Travel & Local,4.0,7943598.0,3000000000.0,5430746071.5,1.0,0.0,0.5,0.0,0.5
Video Players & Editors,4.2,57133110.0,5000000000.0,7961374919.5,1.0,0.0,0.5,0.0,0.0
